u	v
NTRK1	VAPB
SRSF6	RT33
ORC5	GLPA
CHMP7	TRI55
CPSF5	P5CR1
IFIX	HP1B3
KCC1A	MAP10
S18L2	YYAP1
ADAM9	SNX18
BCL7A	APBP2
RL18	NVL
HLAB	CD1B
RS6	UBP36
AP2M1	PR38A
NUMA1	H4
UGGG1	3BHS1
SRSF7	XRCC6
SMAD2	U2AF2
GILT	F120A
ATPD	ATP5H
Q6FHY5	LIPF
H2B1H	CEP41
HBB	NDUF5
VDAC2	ATPG
FHR3	CFAH
LSME2	LSME1
PLK1	SKAP
EFHC2	EFHC1
CREB3	BIK
RS14	RS15
CADH1	TX1B3
BASI	F162A
2A5A	SGO1
SHC1	CFTR
CDK4	CDK13
ARF	COMD1
P53	BRD1
RS3	ZN358
LIPB1	HAOX2
HLAB	TMED6
POTE1	NXNL1
RGPD3	ESRP1
RS14	RL30
TBPL1	RAB35
B3A2	PI2R
KAT7	CAAP1
TLE4	SIX6
ZN581	CRTP1
NPL4	VIAAT
ABI3	K0408
MDM2	RS20
KT33B	K2C72
SRS10	PTN11
DGC6L	ZN620
CDK20	XYLT2
ATM	AGRG2
BCL10	BCL3
SH3G2	GCH1
ZN587	STX11
GZF1	PRDM5
BANP	Q7KZS0
AQP6	ORML1
NHRF1	YES
UBR1	GFAP
SRSF6	RRP12
BAKOR	STYK1
F210B	C9JDX1
EFHC1	RN125
GOGA3	LAMP1
EME1	RAD54
RL23A	RL4
UBE2W	TRI39
NUDC	YAP1
MEN1	CHD1
MDM2	CSN5
PI42B	CD6
TRI63	ZN649
PLIN3	RHBT3
U3KQK0	H2AB2
CD44	VIR
BCR	CBL
MA2A2	LR37B
KLHL8	TCAL5
MTG16	RUNX1
SYNE2	CAN6
PREP	PRR27
CKLF3	SYT2
MYC	HSP74
ESYT1	ACSL3
SFPQ	ELAV1
LTMD1	C3AR
TCP1L	SAAL1
SMAD3	RNF31
TIF1B	RFC4
SAP18	PCBP3
ILF3	DDX21
PNM8A	ZCH12
KRT35	TCHP
FINC	UTER
SYLC	TCPQ
VHL	UBE2N
MGT5A	S39A4
S10AA	ANLN
RASF1	SKP2
PAK2	O10H3
GASP3	TASO2
VINEX	MTG8
TERA	NUB1
FANCJ	PP4RL
RL18	RM20
FMO3	SGSM3
MLP3B	FYCO1
GT253	VENTX
CXCL7	CCL26
TOE1	WDR83
BBS4	IQCB1
SAP18	H0Y4X3
CD63	PSD12
TM14B	MAL2
XPO5	TR10D
SRBP2	CD3D
CXAR	AR13B
ZN213	ZSCA1
ERLN2	TM41B
CC136	MOS
NLGN3	CP11A
PNO1	TSR1
KR108	AVPI1
TRIP6	P121A
TM14B	LRCH1
CILK1	IF172
ADA11	ARF5
HSP7C	COL12
WEE1	NEK6
KCC2D	MOAP1
MTUS2	CDC73
TRI42	FND3B
NDUA7	NDUB2
T120B	HIDE1
DISC1	SPTN1
CKLF7	CSTN3
PDE4D	PLK1
ERMP1	TTMP
SMUF2	TNPO3
RETR3	C5AR1
PCNT	HMOX2
1433F	TAU
CYTS	EFTS
RPB7	PIHD1
LSM5	S100B
INSR	RPN2
RN19B	PALS1
GPD1L	F5H7Q8
PUM3	RL28
PGTB2	RAB31
RL35	RL23A
FND3B	ABHDB
CBP	AKT1
HOIL1	UB2L3
SNW1	CASP6
NPM	SPT2
CTBP1	FUND1
GABP1	STIP1
KHDR1	NEP1
CAV1	SCP2
TTI1	FBX9
HSP7C	APC5
HSPB1	KR197
TESK1	RABEK
TMM59	GL8D1
CPNS1	TNFA
SH24A	GRB2
PLTP	SG2A1
NDRG1	HXC5
SPY4	FBLN4
WIPF1	WASL
NUP42	B2CL2
PICK1	RIN1
MCM7	MCM3
EPS15	SPOPL
STA13	DEN4C
ACTB	MTR1A
ECHB	AT1A1
LEMD2	AT2A1
UBC9	SETX
RTN4	YAP1
KR109	E9PGE5
SHSA6	K1H1
MIGA1	CLC2B
RIPK1	AN13A
AQP6	CYB5B
ARI5A	ACTMP
RT09	AKIP
RIOK1	COPRS
DHX9	BIP
HLAA	FGFR4
TBP	TAF7L
DMD	PKHA2
UBE2O	CAPZB
UBC	KEAP1
ATF6A	BIN1
RL13A	PRD15
CC136	NEBL
TRIP6	GDPD5
K1H1	ELF3
B8A4K4	KR101
MARH1	VP9D1
NKG2A	EMP3
BLT3A	MMP24
POTE1	BRCA1
CCD47	RHBL4
CAV1	GRB10
ARSL	MBRL
CI072	COIL
NDK7	A0A087X0W2
DGAT1	AT2B2
K0408	PERI
NGBR	EFNB2
HMGA1	PO2F2
CYTN	CATL1
RSPRY	SPT19
TFEC	SMCO4
ERGI2	ZFPL1
TBB4A	BAGE2
FIBG	OR2A4
STX10	Q8N742
ZN444	VWCE
RS14	T22D1
TS101	K1C15
STX7	TM267
OBSL1	PRSR2
ZBT21	MAGI1
TM164	BSCL2
KCIP1	KCIP2
ARV1	S22A2
PHB2	Q9BR81
API5	LTV1
PNMA2	PLCD1
PABP4	SRPK2
AT1B3	HSC20
LAT1	IFM3
RL12	RL10
PCD20	DCNP1
YPEL3	FHL5
2AAA	2ABD
NXF1	BIRC2
INO80	BCL7C
PCH2	Q6PIM4
PHS	PTPC1
NTRK1	CN37
TMPPE	LEMD1
RL21	RL13
GOLP3	GLP3L
UBP7	CBX8
RM28	ENKD1
USP9X	RSPH1
COMD1	COMD5
RBM39	LAMP2
PLLP	SOAT
KCC2B	MD2L2
PKP4	CCL3
SP1	KIF1A
TRAF6	SDCG8
SIN3A	BC11A
RAI14	CXCL6
HD	SPT12
CSN5	UBP14
TLE5	LDLR
AIPL1	RADX
PICK1	FMR1
LBR	KCNA3
ZA2G	GBG8
CEP55	ADIP
UB2E1	MKRN3
STXB2	STX3
SC24A	SC16A
1433F	NHSL1
SPTN1	LAP2A
ASPM	ZCH10
AQP2	NRM
CDIPT	MYPR
TMM19	LY6E
HDAC2	HELLS
SRC	NEDD4
CRBG1	IL31R
EF1D	DJC12
SRC	PHAR2
FBW1B	FAF1
QRIC1	SIAH1
ZC11A	NCBP3
COEA1	CSF3
STAG2	CMTD1
PININ	YTDC1
MYC	ABCF1
UTP20	PPR26
CSTFT	FIP1
MCM5	AAKB1
CHCH2	INCA1
ZBT16	CCHCR
MS18A	CAV3
RING2	DHB14
UBQL4	CA094
CJ055	INCA1
GORS1	GUCD1
UBP7	OTUD4
DYN2	THIO
B8A4K4	HCK
MACF1	CNTP2
UGPA	UBC
TRAF2	OSTM1
DISC1	ARRB1
CASP6	LOXL4
TCF19	NOXA1
FBW1A	ZC12A
PRKN	FLNB
BCOR	CTBP1
ECSIT	LPAR1
LHPL5	IF3M
DDX54	IF16
MIA40	GXLT1
IPO11	LPAR6
EWS	MUSC
RN166	GLHA
TM186	TSN1
CREB3	PX11C
AAKB1	PLAT4
MYH9	CC180
SOAT1	MALL
MTMR1	COPT1
CDC6	PSCA
FXYD3	TIM23
NDUAA	IF2M
TF3C2	NOM1
1433Z	WEE1
ATX1	CA094
PTN6	CADH2
SEM6A	SRBS1
PHF1	ZN688
DISC1	NDUV1
PIAS3	RN146
RT10	ZNF17
NDUF3	CLPP
TIAM1	ZHANG
GPC5C	TNR1A
CTNB1	CADH2
TPST2	SMIM5
RECK	MCCB
CPIN1	CACB3
GZF1	OASL
LEF1	MLH3
CBX8	IKZF1
HS71A	TTC1
HS71B	TTC1
MYH4	HIF1A
HSP72	KLC3
FBXW7	TCIM
SOCS1	VHL
COG8	BASI
MED20	MED14
DDRGK	TMEDA
COMD7	INSY1
TBA4A	OSTM1
ENOA	ACES
HNRPC	TNIP3
SH2D3	KIT
HS90B	CXXC1
EF2KT	HPRT
TAF10	SGF29
CATIN	CLC3A
AT1B3	TMPS4
MDM2	FGF11
IMA1	Q53SE7
DIP2A	CD14
PICK1	NFL
HYPM	LAMP2
SE1L1	EDEM1
RAB1A	RAB1B
UBA1	ACOT9
CEBPA	PGAM1
OTX1	ZBT42
I36RA	2ABB
AKAP1	AIFM1
TEAD4	VGLL1
RPB2	ERCC2
TRAF4	ZC12C
CXA1	TTMP
RAN	FGD5
GYS1	AP2D
POLH	EREP1
FOXO3	VDR
NDUV1	ARFG3
SPDLY	SEC13
CASP	CBP
CLH2	TTC9B
FZR1	CDK1
CCNC	MED19
ATG3	MAP1S
CFTR	RSLAB
U119A	S10A4
CSR2B	KAT2B
CDK9	MIC60
RL27	RLA0
SEPT9	SEPT7
MBD3	PFD6
UBC	UBP14
PHF14	H2AZ
KIFC3	DSCAM
ENY2	TAF9B
SYIM	ASB8
TNR6C	NR2E1
KCNJ6	ZDH24
PTN1	LAMP1
