protein	location	source(s)	uniprot_id
DIAPH2	cytosol	GO	O60879
ACTL8	cytosol	HPA	Q9H568
FZD2	primarycilium	HPA	Q14332
PKN2	plasmamembrane	HPA;GO	Q16513
CREB3	endoplasmicreticulum	GO	O43889
APOA4	cytosol	GO	P06727
CAPN8	nuclearmembrane	HPA	A6NHC0
LTBR	plasmamembrane	GO	P36941
INMT	cytosol	GO	O95050
CLOCK	cytosol	GO	O15516
GOLGA6B	centrosome	HPA	A6NDN3
HBEGF	golgiapparatus	HPA	Q99075
BSDC1	golgiapparatus	HPA	Q9NW68
NSUN6	golgiapparatus	HPA	Q8TEA1
ZDHHC13	golgiapparatus	HPA	Q8IUH4
TMEM109	nuclearmembrane	HPA	Q9BVC6
SIN3B	plasmamembrane	HPA	O75182
SLC9A1	plasmamembrane	HPA;GO	P19634
CAMK2B	primarycilium	HPA	Q13554
SNX15	cytosol	HPA	Q9NRS6
RUNX1T1	nucleoplasm	HPA	Q06455
TSG101	nucleoli	HPA	Q99816
CFL1	cytosol	GO	P23528
ERH	cytosol	HPA	P84090
USP14	endoplasmicreticulum	HPA	P54578
RBX1	nucleoplasm	HPA;GO	P62877
FAM83H	cytosol	HPA	Q6ZRV2
COPE	cytosol	GO	O14579
DNAJC2	nucleoplasm	GO	Q99543
CFL2	plasmamembrane	HPA	Q9Y281
PDXP	plasmamembrane	GO	Q96GD0
CDK1	mitochondria	GO	P06493
MCL1	mitochondria	HPA;GO	Q07820
FHDC1	primarycilium	HPA;GO	Q9C0D6
PLCB2	plasmamembrane	HPA	Q00722
RGS4	cytosol	HPA	P49798
VWA5B2	golgiapparatus	HPA	Q8N398
GCNT7	nucleoplasm	HPA	Q6ZNI0
BRPF1	nucleoplasm	GO	P55201
TNFAIP3	cytosol	HPA;GO	P21580
FRMPD1	plasmamembrane	GO	Q5SYB0
TRIM7	nucleoplasm	HPA	Q9C029
TEX264	cytosol	GO	Q9Y6I9
ID2	cytosol	GO	Q02363
CENATAC	nucleoplasm	HPA	Q86UT8
RIT2	golgiapparatus	HPA	Q99578
ABCG1	plasmamembrane	GO	P45844
SP5	nucleoli	HPA	Q6BEB4
SREBF1	golgiapparatus	GO	P36956
IFI6	mitochondria	HPA;GO	P09912
