protein	location	source(s)	uniprot_id
ENSG00000280571	cytosol	HPA	
ATP5MF-PTCD1	mitochondria	HPA	
P3R3URF-PIK3R3	nucleoplasm	HPA	
BORCS8-MEF2B	cytosol	HPA	
ENSG00000288000	microtubules	HPA	
LINC02203	centrosome	HPA	
ENSG00000250264	endoplasmicreticulum	HPA	
ENSG00000269825	nucleoli	HPA	
TGIF2-RAB5IF	mitochondria	HPA	
ENSG00000289258	nucleoplasm	HPA	
ENSG00000251537	plasmamembrane	HPA	
ENSG00000276345	mitochondria	HPA	
ENSG00000274944	mitochondria	HPA	
CYP3A7-CYP3A51P	cytosol	HPA	
ENSG00000291316	nucleoplasm	HPA	
RBM14-RBM4	cytosol	HPA	
ENSG00000269035	nucleoplasm	HPA	
ENSG00000273217	cytosol	HPA	
ENSG00000255639	nucleoplasm	HPA	
ENSG00000244255	plasmamembrane	HPA	
ENSG00000283765	mitochondria	HPA	
ENSG00000289258	cytosol	HPA	
TVP23C-CDRT4	golgiapparatus	HPA	
RPS10-NUDT3	cytosol	HPA	
TRIM39-RPP21	cytosol	HPA	
ENSG00000288000	nucleoplasm	HPA	
ENSG00000262660	mitochondria	HPA	
ENSG00000244255	endoplasmicreticulum	HPA	
ENSG00000265118	golgiapparatus	HPA	
ENSG00000269035	cytosol	HPA	
ENSG00000187186	endoplasmicreticulum	HPA	
BORCS8-MEF2B	plasmamembrane	HPA	
ENSG00000285837	centrosome	HPA	
ENSG00000280571	primarycilium	HPA	
ENSG00000285130	nucleoplasm	HPA	
ENSG00000286268	nuclearmembrane	HPA	
ENSG00000255439	endoplasmicreticulum	HPA	
ENSG00000256500	nucleoplasm	HPA	
FAM47E-STBD1	nucleoplasm	HPA	
ENSG00000272822	nucleoplasm	HPA	
ENSG00000198211	microtubules	HPA	
ENSG00000254706	nucleoplasm	HPA	
PTGES3L-AARSD1	nuclearmembrane	HPA	
ENSG00000272772	primarycilium	HPA	
ENSG00000269026	nucleoplasm	HPA	
ENSG00000275740	nucleoplasm	HPA	
ENSG00000261832	nucleoplasm	HPA	
FAM47E-STBD1	cytosol	HPA	
P3R3URF-PIK3R3	cytosol	HPA	
ENSG00000283149	endoplasmicreticulum	HPA	
ENSG00000282278	nucleoplasm	HPA	
ENSG00000285188	primarycilium	HPA	
ENSG00000286112	cytosol	HPA	
ENSG00000268643	nucleoplasm	HPA	
ENSG00000285526	nucleoplasm	HPA	
ENSG00000288684	cytosol	HPA	
ENSG00000255835	nucleoplasm	HPA	
ISY1-RAB43	nucleoplasm	HPA	
ENSG00000283782	nucleoplasm	HPA	
ENSG00000285283	endoplasmicreticulum	HPA	
ENSG00000254692	golgiapparatus	HPA	
CFAP298-TCP10L	microtubules	HPA	
ENSG00000285749	nucleoli	HPA	
ENSG00000269590	endoplasmicreticulum	HPA	
FMC1-LUC7L2	nucleoplasm	HPA	
ENSG00000284779	nucleoplasm	HPA	
ENSG00000286235	nucleoplasm	HPA	
ENSG00000111780	mitochondria	HPA	
ENSG00000269547	mitochondria	HPA	
COMMD3-BMI1	nucleoplasm	HPA	
PMF1-BGLAP	golgiapparatus	HPA	
ENSG00000260342	endoplasmicreticulum	HPA	
ENSG00000258472	nucleoplasm	HPA	
ENSG00000284292	cytosol	HPA	
FAM47E-STBD1	plasmamembrane	HPA	
