protein	location	source(s)	uniprot_id
H3C15	Nucleoplasm	HPA	
SSX4B	Nucleoplasm	HPA	
GAGE12D	Cytosol	HPA	
H2AC19	Nucleoplasm	HPA	
ENSG00000280571	Cytosol	HPA	
FAM102A	Cytosol	HPA	
C12orf40	Cytosol	HPA	
H2AC15	Nucleoplasm	HPA	
ENSG00000288000	Microtubules	HPA	
LINC02203	Centrosome	HPA	
H2AC16	Nucleoplasm	HPA	
ENSG00000250264	Endoplasmic reticulum	HPA	
ENSG00000269825	Nucleoli	HPA	
TP53TG3E	Centrosome	HPA	
TGIF2-RAB5IF	Mitochondria	HPA	
ENSG00000289258	Nucleoplasm	HPA	
ENSG00000251537	Plasma membrane	HPA	
ENSG00000276345	Mitochondria	HPA	
SLC9A3R1	Plasma membrane	HPA	
C17orf80	Mitochondria	HPA	
ENSG00000274944	Mitochondria	HPA	
HSFY2	Nucleoplasm	HPA	
ENSG00000291316	Nucleoplasm	HPA	
C4orf19	Nucleoplasm	HPA	
HSFX2	Cytosol	HPA	
SPATA5	Cytosol	HPA	
C14orf28	Cytosol	HPA	
SLC22A18	Plasma membrane	HPA;GO	
ENSG00000269035	Nucleoplasm	HPA	
ENSG00000273217	Cytosol	HPA	
C1orf131	Nucleoplasm	GO	
ENSG00000255639	Nucleoplasm	HPA	
ENSG00000244255	Plasma membrane	HPA	
ENSG00000283765	Mitochondria	HPA	
DEFB4A	Golgi apparatus	GO	
ENSG00000289258	Cytosol	HPA	
C1orf100	Cytosol	HPA	
GAGE12C	Golgi apparatus	HPA	
C4orf3	Endoplasmic reticulum	HPA	
ENSG00000288000	Nucleoplasm	HPA	
GAGE12D	Plasma membrane	HPA	
ENSG00000262660	Mitochondria	HPA	
TP53TG3F	Centrosome	HPA	
ENSG00000244255	Endoplasmic reticulum	HPA	
C3orf56	Nucleoplasm	HPA	
ENSG00000265118	Golgi apparatus	HPA	
ENSG00000269035	Cytosol	HPA	
C2orf50	Cytosol	HPA	
IGBP1P2	Primary cilium	HPA	
ENSG00000187186	Endoplasmic reticulum	HPA	
FAM90A11P	Nucleoplasm	HPA	
HSFX1	Cytosol	HPA	
H2AC17	Nucleoplasm	HPA	
ENSG00000285837	Centrosome	HPA	
C9orf24	Nucleoplasm	HPA	
C3orf14	Plasma membrane	HPA	
THEG	Cytosol	HPA	
ENSG00000280571	Primary cilium	HPA	
ENSG00000285130	Nucleoplasm	HPA	
H2BC8	Cytosol	HPA	
ENSG00000286268	Nuclear membrane	HPA	
C3orf56	Cytosol	HPA	
