protein	location	source(s)
DIAPH2	Cytosol	GO
ACTL8	Cytosol	HPA
FZD2	Primary cilium	HPA
PKN2	Plasma membrane	HPA;GO
CREB3	Endoplasmic reticulum	GO
APOA4	Cytosol	GO
CAPN8	Nuclear membrane	HPA
LTBR	Plasma membrane	GO
INMT	Cytosol	GO
CLOCK	Cytosol	GO
GOLGA6B	Centrosome	HPA
HBEGF	Golgi apparatus	HPA
BSDC1	Golgi apparatus	HPA
NSUN6	Golgi apparatus	HPA
ZDHHC13	Golgi apparatus	HPA
TMEM109	Nuclear membrane	HPA
SIN3B	Plasma membrane	HPA
SLC9A1	Plasma membrane	HPA;GO
CAMK2B	Primary cilium	HPA
SNX15	Cytosol	HPA
RUNX1T1	Nucleoplasm	HPA
TSG101	Nucleoli	HPA
CFL1	Cytosol	GO
ERH	Cytosol	HPA
USP14	Endoplasmic reticulum	HPA
RBX1	Nucleoplasm	HPA;GO
FAM83H	Cytosol	HPA
COPE	Cytosol	GO
DNAJC2	Nucleoplasm	GO
CFL2	Plasma membrane	HPA
PDXP	Plasma membrane	GO
CDK1	Mitochondria	GO
MCL1	Mitochondria	HPA;GO
FHDC1	Primary cilium	HPA;GO
PLCB2	Plasma membrane	HPA
RGS4	Cytosol	HPA
VWA5B2	Golgi apparatus	HPA
GCNT7	Nucleoplasm	HPA
BRPF1	Nucleoplasm	GO
TNFAIP3	Cytosol	HPA;GO
FRMPD1	Plasma membrane	GO
TRIM7	Nucleoplasm	HPA
TEX264	Cytosol	GO
ID2	Cytosol	GO
CENATAC	Nucleoplasm	HPA
RIT2	Golgi apparatus	HPA
ABCG1	Plasma membrane	GO
SP5	Nucleoli	HPA
SREBF1	Golgi apparatus	GO
IFI6	Mitochondria	HPA;GO
RFFL	Nucleoplasm	GO
ALG1	Nucleoli	HPA
ELOVL1	Endoplasmic reticulum	HPA;GO
KRT17	Intermediate filaments	HPA
UBE2C	Nucleoplasm	GO
DDA1	Nucleoplasm	HPA;GO
SRP9	Cytosol	GO
FAM167B	Actin filaments	HPA
ELK1	Nucleoplasm	HPA;GO
DNAJB4	Plasma membrane	HPA
GLUL	Mitochondria	HPA
IRGM	Mitochondria	GO
FHL2	Plasma membrane	GO
TM2D1	Nucleoplasm	HPA
BCAM	Nucleoli	HPA
CDV3	Cytosol	HPA
ADGRB1	Plasma membrane	GO
BLOC1S1	Mitochondria	GO
ARSK	Nucleoplasm	HPA
CLNS1A	Nucleoplasm	HPA
MPST	Mitochondria	HPA;GO
CCND2	Nucleoli	GO
HLA-F	Endoplasmic reticulum	GO
MTMR1	Cytosol	GO
TGS1	Cytosol	HPA;GO
MYOC	Mitochondria	GO
SPATA16	Golgi apparatus	GO
IGKV2-29	Plasma membrane	GO
ARFGAP2	Golgi apparatus	HPA
ELOC	Nucleoli	HPA
CAPN1	Plasma membrane	GO
GNAI1	Plasma membrane	GO
LIMS1	Actin filaments	HPA;GO
ZRSR2	Nucleoplasm	GO
ABHD17A	Nucleoplasm	HPA
SLAMF7	Plasma membrane	GO
NOTCH1	Cytosol	GO
SCEL	Plasma membrane	HPA;GO
AGO1	Nucleoplasm	GO
PPP1R12A	Plasma membrane	GO
ADAM17	Actin filaments	GO
ANKRD40	Golgi apparatus	HPA
CHCHD7	Cytosol	HPA
RSL24D1	Nucleoli	HPA
TMEM132A	Mitochondria	HPA
