,degree
O60260,1605
P01106,1400
P04637,948
P42858,911
Q13618,859
P61981,814
P11142,763
Q9NRI5,739
P63104,715
P50222,708
P00533,701
P13569,655
Q04917,643
P62993,640
P0CG48,638
P41002,627
P08238,613
P60410,608
P62258,600
P05067,591
Q6A162,590
Q9NQW6,577
P11021,576
Q8TBB1,574
Q96HA8,565
Q6FHY5,555
Q08379,548
P68400,543
Q08117,543
P03372,543
Q99750,543
Q13520,541
Q15323,538
O60885,537
Q9Y4K3,537
P07900,536
P31946,534
P54253,531
Q12933,527
Q9NRD5,524
P04792,521
P06748,521
B8A4K4,513
Q16543,512
P14373,506
A8MQ03,499
Q13547,487
Q5JR59,485
O95793,480
P62805,479
P27348,477
Q7Z3S9,477
P55072,474
O76024,474
Q7Z699,471
O75031,466
P12004,460
P40337,453
P35222,451
O00560,448
P27694,445
P68431,445
P62753,444
P01116,443
P08107,440
Q13263,439
Q09472,436
Q00987,434
P15927,432
P60409,431
Q92993,427
O60341,427
P46937,424
Q13501,421
Q04864,420
Q5JX71,413
P49639,412
P31749,410
P23508,407
Q9Y6K9,405
Q9UBB9,403
Q0VD86,391
P38398,391
Q9BYV2,389
Q14192,388
P62136,386
Q9NUH8,385
Q9UMX0,382
P12931,382
Q9UHD9,381
P49841,381
Q9BRK4,381
P78362,380
P04626,377
O14964,376
P09874,375
P28799,375
P02545,374
P51114,374
P60709,373
Q93009,372
O76011,370
Q00839,367
P08670,365
Q8NHQ1,364
P12956,363
Q9UJV3,363
P06241,360
Q14164,358
P16403,358
P22607,358
P31947,358
Q9UGI0,352
O95994,352
Q9BVG8,352
P25786,349
P60411,346
P36578,342
P53350,341
P39023,340
P10275,340
Q13077,340
P35244,339
P67809,339
O60333,338
P01889,338
A6NEM1,338
P46108,337
Q93062,333
O95816,332
P00519,332
P62745,331
P23396,328
P27986,328
Q8TDT2,327
P29034,326
Q13137,325
P10809,325
Q96D03,324
P18621,324
Q13573,323
Q9NR30,323
Q9BYF1,322
Q5S007,322
Q9Y297,319
Q8IUG1,317
Q8TD31,316
Q3LI66,316
Q9NYB9,315
Q9UNE7,315
P67870,315
Q9H0I2,314
Q8N6Y0,314
Q06787,314
Q13526,310
Q07627,309
P07910,309
Q14498,308
P36406,308
P13473,307
P62249,307
Q15910,307
P84022,304
P01112,304
Q96DZ9,304
Q9Y282,303
P63279,303
P78371,302
P15884,302
Q93079,301
Q5BVD1,300
Q63ZY3,299
P26371,299
Q9H313,298
Q15287,298
Q8TAP4,297
P26373,297
Q92769,297
Q15125,296
P16401,296
P27824,295
P09651,295
Q6UY14,294
Q9UK22,294
P84098,294
P39019,293
Q8N9N5,293
Q04206,292
P37840,292
P08621,292
Q99459,292
Q12906,289
Q15796,288
P10636,288
Q96CV9,287
Q9Y3U8,287
Q9Y3C5,284
Q01844,284
P14136,283
Q15029,282
P63167,280
Q96SB4,280
P0CG47,279
O00308,279
Q13247,278
P05388,278
P61964,278
Q13148,278
P19338,277
P62750,277
Q3SXY8,276
P04049,276
Q92997,276
P38936,275
P16104,275
P68104,274
P16333,274
Q8WWY3,273
O75400,272
Q13895,272
Q92793,271
Q13304,271
Q3LI67,271
P84103,271
Q15047,270
P54652,270
P36873,269
P51116,268
Q16740,268
Q15654,267
Q9UKT9,267
P46781,267
Q8IUH5,267
Q96GM5,266
P46934,265
P61247,265
O43639,264
P61978,264
O43889,263
Q3KNW5,262
P46379,262
Q9UNX3,262
Q16778,262
O43482,262
Q13064,262
P62899,261
O43741,260
P14618,259
P02792,259
Q16695,257
P11912,257
P40429,257
P06396,256
Q13243,256
Q8TED1,256
P61313,256
Q15185,256
Q9Y320,255
P24928,255
O14965,255
O95817,254
P62424,254
Q14839,253
P54274,253
Q9ULW3,253
Q9UBN7,252
P25791,252
Q8TAU3,251
Q9BWG6,251
Q6P2Q9,251
Q9UER7,250
P14678,249
O15479,249
Q99471,249
Q8IZU0,248
P48165,247
P40763,247
P22087,247
Q96EB6,247
P63208,246
Q16531,246
Q92905,246
Q9NY72,246
P62491,246
P63244,246
Q8WXH2,245
Q16637,245
Q8TBK6,245
Q9H8Y8,244
Q02539,244
EBI,243
O75569,242
P62826,242
Q96FJ2,242
Q13616,241
Q9NZC7,241
P62837,240
P60953,239
Q09028,239
Q13200,239
P62913,238
O76021,238
Q9NX04,238
P48431,237
Q7Z3Y8,236
Q9UI95,236
Q969H0,236
P25815,235
Q69YN4,235
Q9H8W4,234
Q9NZD8,233
P50570,233
P20618,233
P26368,232
Q15038,232
Q99873,232
P78527,232
Q04721,231
P78563,231
P62877,231
P60328,230
Q9BQ66,230
Q9P0L0,230
P29590,230
P25788,230
Q9Y5V3,230
O14901,229
Q7Z6Z7,229
Q05086,228
Q96EZ8,228
O75604,228
Q9H257,228
Q13643,228
Q9Y6H6,228
P30153,227
P19784,227
Q02930,227
Q86YD7,227
Q2TAC2,227
Q15154,227
Q96BA8,226
Q9HC98,226
Q14203,226
Q9UKB1,225
Q4G0J3,225
P56524,225
Q9UL42,224
P56962,224
P24941,223
P62807,223
Q86VR2,223
Q8N720,223
Q12824,222
O75390,222
Q14258,222
Q07021,222
Q13601,221
Q8ND90,220
P62241,220
P05412,219
P84243,219
P51668,219
P20333,219
P0DPK4,218
O43765,218
Q9Y230,218
Q8N1B4,217
Q3B820,217
P22681,217
P55212,216
Q12873,216
Q16665,216
A2A3N6,215
P19012,215
Q8WV44,215
Q07020,215
P78317,215
F5GZ62,215
Q9UKE5,214
P46777,214
Q9Y265,214
P10412,214
P11940,214
Q02878,213
P31943,213
P49368,213
Q8IWZ5,213
Q13485,213
P06400,213
Q7Z2W4,212
P62888,212
P52294,211
P50914,211
Q9Y2T7,211
P63000,211
Q13620,211
P62330,210
Q13422,210
P11279,210
Q16623,210
Q96HB5,210
P79522,209
Q92624,208
P15880,208
P61088,207
P47756,207
Q99816,207
P63010,206
P61289,206
P50402,205
P28482,205
Q13627,205
P62195,205
P04406,205
Q86VM9,205
Q96CW1,204
O95292,204
G5E9A7,204
P51608,204
Q00005,204
O15160,204
Q9NX58,204
O75558,203
Q9BYQ4,203
Q8IUQ4,202
Q8TAE8,202
P04908,202
P37198,202
Q9H2G9,201
P46779,201
P46783,201
P67775,201
P35637,201
Q9UBK5,200
P31948,200
Q13451,199
P78424,199
Q96IK5,199
P62829,199
Q969G3,199
Q15834,198
P21860,198
Q15831,198
P61077,198
Q96ED9,198
Q9BY84,198
P60370,198
Q96N21,198
O14641,198
O15552,197
P35232,197
Q05516,197
Q7L5N1,197
O60504,196
Q7Z5P4,196
P54646,196
P01100,195
Q08426,195
Q12849,195
P17174,195
P24863,195
P16234,195
Q63HR2,195
P61968,195
Q99832,195
P60484,194
Q08AM6,194
Q9GZR5,194
Q13309,193
Q92569,193
Q9BUZ4,193
P62917,192
P26196,192
O95429,192
P21333,192
P07437,192
Q13619,191
Q8NC51,191
P01111,191
Q6RW13,191
Q9UQM7,191
Q5T749,191
Q99759,191
Q16659,190
P27635,190
P26367,190
P04271,190
Q5JXX7,189
Q8NA61,189
Q70EL1,189
P62277,189
Q13315,189
Q68D86,189
Q3SY00,189
Q2HXU8,189
P25800,189
P61073,189
P32242,189
Q969Q1,188
Q7L2J0,188
O75533,188
P52292,188
Q13823,188
Q9Y478,188
Q8N8B7,188
Q9NU19,188
P43243,188
P04150,187
Q9GZM8,187
Q13625,187
Q96J02,186
Q96CS2,186
Q9GZQ8,186
O95831,186
P54252,186
P15056,185
Q6NT76,185
P06493,185
P61513,184
Q9NPJ6,184
Q6NUQ1,184
P52815,184
Q8TAF8,184
O00255,184
O60884,184
P19438,183
Q9Y4E8,183
P63165,183
P61254,183
Q15560,183
Q8N5M9,183
Q6NX70,183
Q15428,183
Q3ZCM7,183
P51532,183
Q13257,183
Q8IY81,182
P17980,182
Q9UBU9,182
P35613,182
Q9Y2D8,182
Q13435,182
Q96Q45,181
Q8N5R6,181
Q06124,181
P60468,181
O14980,181
O95967,181
P55040,180
Q03989,180
Q9Y371,180
Q96SQ5,180
P14866,180
P62306,180
O95273,180
P27105,180
P04183,180
O95751,180
Q08170,179
P18124,179
Q9GZR7,179
P08047,179
Q8TAP6,179
Q9Y639,179
P61586,179
Q9NRR5,179
Q02543,179
Q15459,179
P46776,178
Q15836,178
P40227,178
Q9BYR5,178
P29972,177
P17987,177
P09234,177
Q5VU43,177
P62701,177
Q92567,177
Q9UJX2,177
Q9BYV6,177
Q15050,177
P62263,177
Q71U36,176
P52272,176
Q13283,176
Q9HBE1,176
Q8WW24,176
P48643,176
Q15025,176
P02786,176
Q9BYQ3,176
P09382,176
P62280,175
Q13185,175
O95503,175
P25490,175
Q86UW9,175
Q8NI38,175
P55081,175
Q7L273,175
O15162,174
P62158,174
P19174,174
P08651,174
P04843,174
O43463,174
Q13363,174
O15400,174
O14744,173
Q9H015,173
Q9GZR2,173
P46087,173
P13010,172
P55036,172
O95678,172
P19388,172
P18031,172
Q5JST6,172
Q13490,172
P02724,172
P68366,172
P59991,172
O60506,171
Q9BYB0,171
Q14197,171
P22314,171
Q14145,171
Q9Y3M2,171
Q92922,171
Q9UJV8,171
Q9Y5Y6,170
Q9Y2V7,170
Q3LI64,170
Q9BQD3,170
Q08211,170
Q9Y2I6,170
Q2T9L4,170
Q14938,170
P35579,170
P40222,170
O60573,170
Q86WV8,169
P61244,169
Q9H6H4,169
P35268,168
Q9UBU8,168
O15218,168
Q7Z7K2,168
O43169,168
P34932,168
Q9NP66,168
Q9BWT7,168
P32121,168
Q96JN0,168
P18077,168
Q13021,168
P15622,168
Q9UNK0,168
O60739,167
Q9NYB0,167
O43318,167
Q9H9D4,167
P50750,167
O43395,166
Q96RU7,166
P98170,166
P98172,166
Q96AG4,166
Q9P2K3,165
Q92900,165
Q9UKR5,165
P26715,165
Q14973,165
Q07955,165
Q15149,165
Q03135,164
A1L4K1,164
P31273,164
O43167,164
P38646,164
P10147,164
O15529,164
Q00610,164
P52597,164
Q9UHD2,164
P17844,163
Q7Z417,163
Q00653,163
Q53EZ4,163
O95983,163
P31321,163
O15379,163
Q9NW13,163
Q9NZB2,162
O00422,162
Q9BQG0,162
P02489,162
Q53FD0,162
Q8N2W9,162
Q92876,162
O95858,162
Q7Z3K3,162
P33993,162
Q15717,161
O15393,161
Q9C0C9,161
P04629,160
Q16512,160
P27797,160
Q9GZY8,160
Q2M329,160
O95985,160
Q9P0T4,160
P15941,160
Q14160,160
P32969,160
Q8IYI6,160
P13073,159
P56545,159
Q9UBX5,159
Q86VP1,159
P19474,159
Q8IY31,159
Q16666,159
P51149,159
P60520,159
Q9BXS5,159
P10909,158
P61956,158
P30519,158
Q9Y2J4,158
Q15434,158
Q92831,158
