node	x	y	z
P54829	1463.0117702611535	1057.1771689536272	-3610.540013947845
Q53FV1	3245.546685143948	-3797.6682948913012	368.9378691554969
Q9H3N1	-1316.4876989208697	-1948.0429503395505	-3277.3553251996186
P35613	-3567.5005134411986	1260.150562445763	1347.3199839491997
O14656	314.51043880872936	-142.1136925209667	4997.855945157997
O94905	-3396.919692211385	-2062.6154777640622	-561.8448250823902
Q9NRZ7	4199.1139528146905	-1672.840332901786	2164.15162963828
O95197	1894.9822205977534	-3754.2873979800816	-2718.833313184748
Q99442	1754.3825206162726	-2500.409234729818	-2629.3083062587107
P27824	-2680.0240920994297	-2803.3774013813386	607.9308731034013
Q5S007	-1977.1716908928893	3343.73052712405	-1081.1470107427635
P04439	-11.896969451122395	4679.745729383702	1779.3218386381643
Q9Y394	3972.234881082	-2343.5903847062414	-1953.4678162658888
Q96GR4	2672.83941888195	-3044.5791489068038	-2942.1315161237408
P32969	-1212.6419348852191	4240.582684863403	-2381.7024996910636
P17252	-1995.7885318923402	1382.9855127364974	4376.012877006598
Q13586	2175.354998540957	-3188.652325683987	1026.3229691279328
P05981	1894.0188583695824	-1035.2276778689165	4520.044627316805
P18124	-1800.4993457239207	3673.579446858818	-1674.2908509419392
P49755	-3749.5908896411875	-504.4325033121681	1368.1819203072462
Q06136	4032.1790551765894	-2362.611425536347	1811.1600808984201
Q9BVK6	-1314.5123182201428	-3433.2821162786427	3381.8690751560725
Q9UNN5	-3539.543670400194	646.4630396973778	-1823.7289216974702
Q8N386	4455.981220244699	1820.9322032013276	1404.5060313872507
P38484	4521.959364656077	-2159.2454710492034	-134.38450297946454
P60953	-3324.4406332121275	2160.7111879370523	656.3114011638717
Q9Y3B3	-617.6239521894852	-1095.5498204732696	4849.839477331182
Q9UBF2	-1146.9253981407567	-1483.0504134965022	-4640.450266310662
P50454	-3872.7299841594768	2866.850266880308	1343.8330221220738
Q13190	3610.6184982054174	-1805.8388780895334	-20.130585708312516
P46977	-3274.733783110379	-2316.9384804028646	334.1010807380211
Q15363	-2753.756446500013	-770.9215722537868	4111.84173581377
