uniprot_id	protein_name	gene_names	protein_full_name
P04629	NTRK1	NTRK1 MTC TRK TRKA	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)
Q13247	SRSF6	SRSF6 SFRS6 SRP55	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)
O43913	ORC5	ORC5 ORC5L	Origin recognition complex subunit 5
Q8WUX9	CHMP7	CHMP7	Charged multivesicular body protein 7 (Chromatin-modifying protein 7)
O43809	CPSF5	NUDT21 CFIM25 CPSF25 CPSF5	Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit)
Q6K0P9	IFIX	PYHIN1 IFIX	Pyrin and HIN domain-containing protein 1 (Interferon-inducible protein X)
Q14012	KCC1A	CAMK1	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)
Q9UHA2	S18L2	SS18L2	SS18-like protein 2 (SYT homolog 2)
Q13443	ADAM9	ADAM9 KIAA0021 MCMP MDC9 MLTNG	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)
Q4VC05	BCL7A	BCL7A	B-cell CLL/lymphoma 7 protein family member A
Q07020	RL18	RPL18	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)
P01889	HLAB	HLA-B HLAB	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)
P62753	RS6	RPS6 OK/SW-cl.2	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)
Q96CW1	AP2M1	AP2M1 CLAPM1 KIAA0109	AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)
Q14980	NUMA1	NUMA1 NMP22 NUMA	Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)
Q9NYU2	UGGG1	UGGT1 GT UGCGL1 UGGT UGT1 UGTR	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (hUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)
Q16629	SRSF7	SRSF7 SFRS7	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)
Q15796	SMAD2	SMAD2 MADH2 MADR2	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)
P13284	GILT	IFI30 GILT IP30	Gamma-interferon-inducible lysosomal thiol reductase (EC 1.8.-.-) (Gamma-interferon-inducible protein IP-30) (Legumaturain)
P30049	ATPD	ATP5F1D ATP5D	ATP synthase F(1) complex subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)
Q6FHY5	Q6FHY5	MEOX2	MEOX2 protein
Q93079	H2B1H	H2BC9 H2BFJ HIST1H2BH	Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j)
P68871	HBB	HBB	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]
P45880	VDAC2	VDAC2	Non-selective voltage-gated ion channel VDAC2 (VDAC-2) (hVDAC2) (Outer mitochondrial membrane protein porin 2)
Q02985	FHR3	CFHR3 CFHL3 FHR3	Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3)
Q8N112	LSME2	LSMEM2 C3orf45	Leucine-rich single-pass membrane protein 2
P53350	PLK1	PLK1 PLK	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)
Q5JST6	EFHC2	EFHC2	EF-hand domain-containing family member C2
O43889	CREB3	CREB3 LZIP	Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)]
P62263	RS14	RPS14 PRO2640	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)
P12830	CADH1	CDH1 CDHE UVO	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]
P35613	BASI	BSG UNQ6505/PRO21383	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Hepatoma-associated antigen) (HAb18G) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)
Q15172	2A5A	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)
P29353	SHC1	SHC1 SHC SHCA	SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)
P11802	CDK4	CDK4	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)
Q8N726	ARF	CDKN2A CDKN2 MLM	Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF)
P04637	P53	TP53 P53	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)
P23396	RS3	RPS3 OK/SW-cl.26	Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18)
Q86W92	LIPB1	PPFIBP1 KIAA1230	Liprin-beta-1 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 1) (PTPRF-interacting protein-binding protein 1) (hSGT2)
Q9NUX5	POTE1	POT1	Protection of telomeres protein 1 (hPot1) (POT1-like telomere end-binding protein)
A6NKT7	RGPD3	RGPD3 RGP3	RanBP2-like and GRIP domain-containing protein 3
P62380	TBPL1	TBPL1 TLF TLP TLP21 TRF2 TRP	TATA box-binding protein-like 1 (TBP-like 1) (21 kDa TBP-like protein) (Second TBP of unique DNA protein) (STUD) (TATA box-binding protein-related factor 2) (TBP-related factor 2) (TBP-like factor) (TBP-related protein)
P04920	B3A2	SLC4A2 AE2 EPB3L1 HKB3 MPB3L	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2)
O95251	KAT7	KAT7 HBO1 HBOa MYST2	Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)
Q04727	TLE4	TLE4 GRG4 KIAA1261	Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)
Q9P0T4	ZN581	ZNF581 HSPC189	Zinc finger protein 581
Q8TAT6	NPL4	NPLOC4 KIAA1499 NPL4	Nuclear protein localization protein 4 homolog (Protein NPL4)
Q9P2A4	ABI3	ABI3 NESH	ABI gene family member 3 (New molecule including SH3) (Nesh)
Q00987	MDM2	MDM2	E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2)
Q14525	KT33B	KRT33B HHA3-II HKA3B KRTHA3B	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)
O75494	SRS10	SRSF10 FUSIP1 FUSIP2 SFRS13A TASR	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)
Q9BY27	DGC6L	DGCR6L	Protein DGCR6L (DiGeorge syndrome critical region 6-like protein)
Q8IZL9	CDK20	CDK20 CCRK CDCH	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)
Q13315	ATM	ATM	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)
O95999	BCL10	BCL10 CIPER CLAP	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)
Q99962	SH3G2	SH3GL2 CNSA2 SH3D2A	Endophilin-A1 (EEN-B1) (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2)
Q96SQ5	ZN587	ZNF587	Zinc finger protein 587
Q9H116	GZF1	GZF1 ZBTB23 ZNF336	GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336)
Q8N9N5	BANP	BANP BEND1 SMAR1	Protein BANP (BEN domain-containing protein 1) (Btg3-associated nuclear protein) (Scaffold/matrix-associated region-1-binding protein)
Q13520	AQP6	AQP6 AQP2L	Aquaporin-6 (AQP-6) (Aquaporin-2-like) (Kidney-specific aquaporin) (hKID)
